engine,saf_level,water_injection,fuel_kg_sum_change,ei_co2_conservative_sum_change,ei_co2_optimistic_sum_change,ei_nox_sum_change,ei_nvpm_num_sum_change,co2_conservative_sum_change,co2_optimistic_sum_change,nox_sum_change,nvpm_num_sum_change
GTF,0,0,-11.1,0.0,0.0,-2.1,-84.1,-11.1,-11.1,-15.5,-85.6
GTF1990,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2000,0,0,0.0,0.0,0.0,0.4,-84.5,0.0,0.0,0.6,-83.2
GTF2035,0,0,-18.1,0.0,0.0,17.7,-84.5,-18.1,-18.1,-5.7,-87.5
GTF2035,20,0,-18.5,-2.0,-18.8,17.7,-87.3,-20.2,-33.8,-6.2,-89.5
GTF2035,100,0,-20.2,-10.0,-94.0,17.7,-93.0,-28.1,-95.2,-8.0,-93.5
GTF2035_wi,0,15,-26.8,-0.5,-0.5,-90.9,-88.8,-26.8,-26.8,-93.4,-91.5
GTF2035_wi,20,15,-27.1,-2.5,-19.2,-90.9,-90.7,-28.6,-40.8,-93.4,-92.8
GTF2035_wi,100,15,-28.5,-10.4,-94.0,-90.9,-94.5,-35.7,-95.7,-93.6,-95.4
