time,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza
2023-11-06 09:00:00,3c49c8,EWG1VT,51.29144183659957,6.7767333984375,61.218888836,91.44,0.28405017572230035
2023-11-06 09:01:00,3c49c8,EWG1VT,51.27375198622881,6.7395782470703125,79.73888882,480.06,0.2855433698759203
2023-11-06 09:02:00,3c49c8,EWG1VT,51.28692626953125,6.684586808488175,93.114444364,990.6,0.28649822293553767
2023-11-06 09:03:00,3c49c8,EWG1VT,51.346527099609375,6.692381162901183,124.495555448,1478.28,0.28716471656551723
2023-11-06 09:04:00,3c49c8,EWG1VT,51.41177937135858,6.7153167724609375,134.269999884,2293.62,0.28782491023104495
2023-11-06 09:05:00,3c49c8,EWG1VT,51.47136623576536,6.782073974609375,136.32777766,3139.44,0.2887972902622822
2023-11-06 09:06:00,3c49c8,EWG1VT,51.538494562698624,6.8555450439453125,156.90555542,3680.46,0.2896811189378583
2023-11-06 09:07:00,3c49c8,EWG1VT,51.60804360599841,6.940689086914063,168.737777632,4282.4400000000005,0.2905739559012449
2023-11-06 09:08:00,3c49c8,EWG1VT,51.67817687988281,7.0405289933488175,177.997777624,4861.56,0.29151596454782297
2023-11-06 09:09:00,3c49c8,EWG1VT,51.75081931938559,7.14447021484375,184.171110952,5440.68,0.2924193891056235
2023-11-06 09:10:00,3c49c8,EWG1VT,51.82562876555879,7.252044677734375,188.801110948,5996.9400000000005,0.29328544747736585
2023-11-06 09:11:00,3c49c8,EWG1VT,51.90271927138506,7.363115583147322,193.945555388,6492.240000000001,0.2941107757435668
2023-11-06 09:12:00,3c49c8,EWG1VT,51.981536865234375,7.477264404296875,199.089999828,6934.200000000001,0.2949001193963684
2023-11-06 09:13:00,3c49c8,EWG1VT,52.06219482421875,7.594757080078125,202.691110936,7383.780000000001,0.29565238037694486
2023-11-06 09:14:00,3c49c8,EWG1VT,52.15414790783898,7.687683105468751,208.34999982,7703.820000000001,0.29608747825574006
2023-11-06 09:15:00,3c49c8,EWG1VT,52.266998291015625,7.692794799804687,210.407777596,8084.820000000001,0.295749790939665
2023-11-06 09:16:00,3c49c8,EWG1VT,52.379227977688025,7.700788225446429,206.806666488,8557.26,0.2954176611664532
2023-11-06 09:17:00,3c49c8,EWG1VT,52.49025506488347,7.711225237165179,204.234444268,8961.12,0.29509704912670554
2023-11-06 09:18:00,3c49c8,EWG1VT,52.59853557004767,7.739161900111608,202.691110936,9288.78,0.29488404334671015
2023-11-06 09:19:00,3c49c8,EWG1VT,52.706451416015625,7.7671051025390625,203.719999824,9555.480000000001,0.29465656158252373
2023-11-06 09:20:00,3c49c8,EWG1VT,52.8138427734375,7.795257568359375,199.604444272,9936.480000000001,0.2944180125769298
2023-11-06 09:21:00,3c49c8,EWG1VT,52.91965290651483,7.823285784040179,199.604444272,10180.32,0.29418245121375214
2023-11-06 09:22:00,3c49c8,EWG1VT,53.0255126953125,7.851409912109375,199.089999828,10401.300000000001,0.293927095838173
2023-11-06 09:23:00,3c49c8,EWG1VT,53.13166809082031,7.879943847656251,200.118888716,10584.18,0.29364978561859095
2023-11-06 09:24:00,3c49c8,EWG1VT,53.238046937069655,7.90817709530101,201.662222048,10668.0,0.2933482949438915
2023-11-06 09:25:00,3c49c8,EWG1VT,53.345792091498936,7.937298943014706,203.20555538,10767.060000000001,0.2930110623159385
2023-11-06 09:26:00,3c49c8,EWG1VT,53.45421225337659,7.967188218060661,205.263333156,10888.980000000001,0.292647606197886
2023-11-06 09:27:00,3c49c8,EWG1VT,53.56398010253906,7.996869768415179,205.7777776,11010.900000000001,0.2922434235289133
2023-11-06 09:28:00,3c49c8,EWG1VT,53.67365950244968,8.026885986328125,207.321110932,11033.76,0.291822340635266
2023-11-06 09:29:00,3c49c8,EWG1VT,53.78398132324219,8.057137625558036,207.835555376,11033.76,0.29137295806769137
2023-11-06 09:30:00,3c49c8,EWG1VT,53.89347839355469,8.087428501674108,206.292222044,11033.76,0.2909165043064118
2023-11-06 09:31:00,3c49c8,EWG1VT,54.00260925292969,8.117719377790179,204.748888712,11033.76,0.2904460357911036
2023-11-06 09:32:00,3c49c8,EWG1VT,54.11183166503906,8.148324148995536,203.719999824,11033.76,0.2899560170981549
2023-11-06 09:33:00,3c49c8,EWG1VT,54.21897241624735,8.178513470818014,202.176666492,11041.380000000001,0.289476477641582
2023-11-06 09:34:00,3c49c8,EWG1VT,54.3255615234375,8.208725873161764,200.63333316,11033.76,0.28898625250120014
2023-11-06 09:35:00,3c49c8,EWG1VT,54.43227476992849,8.238997025923295,200.118888716,11033.76,0.2884752910719852
2023-11-06 09:36:00,3c49c8,EWG1VT,54.53873973781779,8.269459117542613,200.63333316,11026.140000000001,0.28794984579532845
2023-11-06 09:37:00,3c49c8,EWG1VT,54.645538330078125,8.30009011661305,202.176666492,11026.140000000001,0.2874009704743141
2023-11-06 09:38:00,3c49c8,EWG1VT,54.75288003177966,8.331215598366477,202.691110936,11041.380000000001,0.2868266854579557
2023-11-06 09:39:00,3c49c8,EWG1VT,54.86064846232786,8.362260298295453,203.20555538,11033.76,0.2862265541804876
2023-11-06 09:40:00,3c49c8,EWG1VT,54.96830749511719,8.393877814797793,203.719999824,11033.76,0.28561130335629004
2023-11-06 09:41:00,3c49c8,EWG1VT,55.07613877118644,8.425265225497158,203.20555538,11041.380000000001,0.2849736387156937
2023-11-06 09:42:00,3c49c8,EWG1VT,55.18446582858845,8.457475142045453,203.719999824,11033.76,0.2843124083811204
2023-11-06 09:43:00,3c49c8,EWG1VT,55.2926066770392,8.489435369318182,204.234444268,11033.76,0.2836343087861224
2023-11-06 09:44:00,3c49c8,EWG1VT,55.40089416503906,8.521917006548714,205.7777776,11033.76,0.28293697092390635
2023-11-06 09:45:00,3c49c8,EWG1VT,55.510098732123936,8.554487228393555,205.7777776,11033.76,0.2822068578368666
2023-11-06 09:46:00,3c49c8,EWG1VT,55.61884475966631,8.587188720703125,205.7777776,11041.380000000001,0.2814656013216922
2023-11-06 09:47:00,3c49c8,EWG1VT,55.72819519042969,8.620355779474432,205.7777776,11033.76,0.2806977474406107
2023-11-06 09:48:00,3c49c8,EWG1VT,55.836988546080505,8.653535842895508,205.7777776,11033.76,0.27992000713634774
2023-11-06 09:49:00,3c49c8,EWG1VT,55.94638630495233,8.687353134155273,206.292222044,11026.140000000001,0.27911623162590293
