,Unnamed: 0,index,longitude,latitude,altitude,groundspeed,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,EI_nox_py,EI_nvpm_mass_py,EI_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,EI_nox_p3t3,EI_nox_p3t3_xue,EI_nox_boer,EI_nox_kaiser,EI_nox_kypriandis,EI_nvpm_number_p3t3,EI_nvpm_mass_p3t3,EI_nvpm_number_p3t3_meem,EI_nvpm_mass_p3t3_meem,EI_mass_meem,EI_number_meem,ei_nox,ei_co2,wingspan,time,air_pressure,issr,waypoint,level,u_wind,v_wind,tau_cirrus,specific_cloud_ice_water_content,rho_air,sdr,segment_length,sin_a,cos_a,G,T_sat_liquid,rh,rh_critical_sac,sac,T_critical_sac,width,depth,rhi_1,air_temperature_1,specific_humidity_1,altitude_1,persistent_1,dT_dz,ds_dz,dz_max,rho_air_1,iwc_1,n_ice_per_m_1,ef,contrail_age,global_yearly_mean_rf,atr20,sdr_mean,sdr_min,sdr_max,rsr_mean,rsr_min,rsr_max,olr_mean,olr_min,olr_max,rf_sw_mean,rf_sw_min,rf_sw_max,rf_lw_mean,rf_lw_min,rf_lw_max,rf_net_mean,rf_net_min,rf_net_max,cocip,potential_vorticity,geopotential,relative_humidity,olr,pcfa,sac,aCCF_CH4,aCCF_O3,aCCF_H2O,aCCF_nCont,aCCF_dCont,aCCF_Cont,aCCF_CO2,aCCF_merged,aCCF_NOx,Fin,nox_impact,co2_impact,warming_contrails
0,0,0,-4.458446502685547,36.64544677734375,624.84,100.831111024,34610D,295.19336,0.96996045,1.6105541,110.572215716343,66657.01520873216,0.2526206822437738,1.327123937901571,79.62743627409424,148637.69467369904,2781.55761468215,0.0082756375501709,0.3826088177977075,0.6635619689507853,1.0,0.0183432257888875,0.0003684312454961,7.99046714585036e-05,3.078641737874867e-05,1532568553431143.8,251.54307118986367,97.9417466171359,0.095552923528913,0.0019500596638553,0.0015925487254818,1.4606240425659645,0.0293372355221285,0.0063626041345644,0.0024514434879339,1.2203450482401918e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3210331919589202,74.31884733684952,18.343225788887537,30.78641737874867,1532568553431143.8,29.974666810732,835.034414379908,1572.81701678426,0.827563755017,0.0223833009884364,0.760949748224861,74.3191725375637,33.9963148696423,33.71728285753673,0.8275637550170901,0.9554774319814914,20.66650440231689,20.66650440231689,20.40256953302421,17.7920912633348,17.738758886144772,1429324010381145.5,33.06838887252958,1413006527190964.2,31.51380425008408,,,0.0183432257888875,3.16,35.8,2024-06-07 09:23:00,94040.35659516814,0.0,0,940.4035659516813,0.96996045,1.6105541,1.2928642,0.0,1.1098138280022847,1014.9134328244254,7015.014079391221,-0.6572896549879692,0.7536380493617586,5.866914479429418,245.52011211208495,0.47175646780541897,inf,0.0,236.91564186748755,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,-3.4569373e-07,6253.6772,0.4902864,0.0,0.0,1.0000000000000002,-1.0195202915550466e-12,1.0526328e-11,2.4356792e-16,0.0,-0.0,0.0,7.48e-16,1.2458007252927944e-13,9.506808046345505e-12,1319.3912289258392,1.3885872400551785e-11,1.8821377857235113e-13,0.0
1,1,1,-4.399623870849609,36.604248046875,1440.18,118.32222212,34610D,290.10602,-12.065596,3.6959515,139.33108068323645,66577.38777245807,0.2803715600781101,1.1950438293209404,71.70262975925642,103716.8323707955,2671.4630383454605,0.0078189829079693,0.4711974291771986,0.5975219146604702,0.9424954841825948,0.0168855444313333,0.0003848456229339,8.346459058153043e-05,2.808468447654321e-05,1573158199281541.2,226.50860740949105,88.1942346038854,0.0860431557111077,0.0017559827696144,0.0014340525951851,1.2107379406433716,0.0275944432157013,0.0059846306364753,0.0020137457329271,1.127995799158229e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4080626547867353,51.85841618539775,16.885544431333383,28.084684476543213,1573158199281541.2,24.401304656208,800.040614392232,1483.68767989146,0.781898290797,0.0203726690631813,0.582681178934578,51.8583772099625,28.6011212928224,28.37922462057272,0.7818982907969301,0.8092850426796819,17.24864246318489,17.24864246318489,14.817376438027848,13.797738298236675,14.093874498966573,1211095161413104.2,21.096835148581555,1321530899415104.5,21.3515466310904,31.974697480985007,1860782229766198.5,0.0168855444313333,3.16,35.8,2024-06-07 09:24:00,85178.39178058632,0.0,1,851.7839178058632,-12.065596,3.6959515,1.2804203,0.0,1.0228575235076942,1018.6026078873053,7154.666527832962,-0.24911119964419656,0.9684748887874323,5.516807110069086,244.77977852152495,0.5539853089391745,inf,0.0,236.76706075516134,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,2.7163645e-07,14581.286,0.5661671,0.0,0.0,1.0000000000000002,-9.708640911118293e-13,9.179721e-12,2.4737454e-16,0.0,-0.0,0.0,7.48e-16,1.0771051209863476e-13,8.208856735645944e-12,1319.6301152727594,9.93877429915239e-12,1.6948207190935923e-13,0.0
2,2,2,-4.322477300116361,36.58828993975106,2217.42,135.298888772,34610D,288.7378,-5.6733317,10.186295,145.58717537578292,66505.68514269881,0.2835251170420679,1.1688525819071045,70.13115491442626,108931.43801968958,3005.555785269361,0.0053509477967686,0.3237649330788237,0.5844262909535521,1.0,0.0182071642124682,0.0004179169360361,9.063703439685556e-05,3.160117416568522e-05,1520328006110952.8,221.5443183746725,86.2613205447443,0.0841573858973115,0.0017174976713737,0.0014026230982885,1.2768894539370106,0.0293089973825104,0.00635647990027,0.0022162268408914,1.0662235891730802e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4273940854773426,54.46571900984479,18.20716421246828,31.601174165685222,1520328006110952.8,25.1171050902528,822.45611552417,1537.44470543496,0.535094779677,0.0214786836069779,0.620460542402621,54.4656522775199,28.8872704564188,28.73351889678464,0.53509477967686,0.9020092862158696,19.74259599508336,19.74259599508336,18.303217233327203,16.392381366249914,16.51333310069274,1170338372264047.5,24.45089545516659,1216668038954352.2,23.39607392549804,28.986680527518917,1769778711151715.8,0.0182071642124682,3.16,35.8,2024-06-07 09:25:00,77372.3179826334,0.0,2,773.723179826334,-5.6733317,10.186295,1.2663215,0.0,0.9335216913647699,1022.4329422493857,8222.004453059662,0.33662085790962526,0.9416402699652282,5.022639565175864,243.6604854659384,0.3757760466880827,inf,0.0,234.6642313780297,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,1.3061687e-06,22645.295,0.383683,0.0,0.0,0.9999999999999998,-9.236901675247405e-13,8.390905e-12,3.065084e-16,0.0,-0.0,0.0,7.48e-16,9.812830472247643e-14,7.467215101176619e-12,1319.7226466170807,9.534808212971573e-12,1.6576760824813112e-13,0.0
3,3,3,-4.236222936751972,36.61300917803231,3086.1000000000004,152.275555424,34610D,282.66278,-5.0140047,11.643089,152.16004076680514,66435.55398778438,0.2885505707291853,1.1309381781090246,67.85629068654148,98400.61945474308,2287.214517318119,0.0029210953338867,0.2500719341300094,0.5654690890545123,1.0,0.0186752416290469,0.0004356547443759,9.448397671002174e-05,3.376337620560875e-05,1487844034440081.2,214.3580222787845,83.46323754444603,0.0814275488238497,0.0016617867106908,0.0013571258137308,1.2672326246220122,0.0295619149733473,0.0064113321888556,0.0022910574703668,1.009595772972028e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4514644143803006,49.20030972737154,18.67524162904698,33.76337620560875,1487844034440081.2,23.1856495959441,813.390682688838,1521.03357333129,0.292109533389,0.021131286997048,0.567388038660796,49.1998126614033,26.8506143870963,26.772409626260128,0.2921095333886699,0.8641923882727257,19.57139390195598,19.57139390195598,17.532557341222457,15.832809929711525,16.0118070102819,1096730889920555.2,21.289046160585585,1194632393035901.2,20.52527945202685,26.235077325205012,1619039384028535.5,0.0186752416290469,3.16,35.8,2024-06-07 09:26:00,69344.03928345334,0.0,3,693.4403928345334,-5.0140047,11.643089,1.2569908,0.0,0.8546394945136114,1026.2575422343016,9734.594086991396,0.8806545008221959,0.4737590634295125,4.523821779341024,242.42686644714536,0.2739928694259081,inf,0.0,233.0296323694594,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,1.9844164e-07,31659.031,0.2732792,0.0,0.0,1.0,-8.709154784853917e-13,7.041143e-12,2.2605054e-16,0.0,-0.0,0.0,7.48e-16,8.118700682544839e-14,6.170227406573169e-12,1319.5793148089283,7.819113470946356e-12,1.603905571699644e-13,0.0
4,4,4,-4.184622257313833,36.68991347490731,3749.04,174.91111096,34610D,276.64957,-3.9257789,9.377092,165.96180560067236,66367.69769709784,0.2975260516300524,1.1171801346949657,67.03080808169793,92413.75749340394,2094.6075759498312,0.0020121669953568,0.2536398118790869,0.5585900673474827,1.0,0.0188500059339591,0.0004426415133841,9.59992539536768e-05,3.546093665197463e-05,1462340633540833.5,211.75032273008367,82.44789394048846,0.0804369696980375,0.001641570810164,0.0013406161616339,1.2635311300980805,0.0296706183326431,0.006434907567755,0.0023769752391157,9.802187435694418e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4977375294550086,46.206878746701975,18.85000593395912,35.460936651974635,1462340633540833.5,22.5960767603918,810.219201907059,1516.2160067986,0.201216699536,0.0210399246910721,0.551706934512725,46.2070331094466,26.221906333478,26.169249433474704,0.20121669953568,0.8511375135969105,19.462989787567917,19.462989787567917,17.3262859635016,15.670181571964438,15.866933882703895,1090398781039794.0,20.628705227943325,1209737898716200.8,19.95659199054531,24.9546920150174,1543617094871476.0,0.0188500059339591,3.16,35.8,2024-06-07 09:27:00,63682.73221635501,0.0,4,636.8273221635501,-3.9257789,9.377092,1.2849733,0.0,0.8019257097499657,1029.5417489564836,11300.750988592325,0.9530471581850851,0.30282191841961104,4.204284431519568,241.57163484343204,0.26233456229985325,inf,0.0,232.1969327533955,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,3.114354e-07,38533.082,0.26310974,0.0,0.0,1.0,-8.305995980137613e-13,5.9784404e-12,2.323456e-16,0.0,-0.0,0.0,7.48e-16,6.790227785495387e-14,5.1478409415656114e-12,1319.133393628011,6.5044572824615605e-12,1.584393804465478e-13,0.0
5,5,5,-4.146251678466797,36.78662109375,4358.64,191.887777612,34610D,271.71878,-3.406237,8.695613,180.84474749099616,66300.66688901615,0.3012554568817412,1.0933459187748753,65.60075512649252,97118.16341582536,2666.064328572796,0.0012513568449361,0.2179621556171939,0.5466729593874377,1.0,0.0189171891632269,0.000452394905954,9.81145512810233e-05,3.628235539e-05,1450000000000000.0,207.23278544458984,80.68892880558579,0.078720906151791,0.0016065491051385,0.0013120151025298,1.240981893978391,0.0296774474459664,0.0064363886529321,0.0023801499113517,9.512109493341414e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5472720841957844,48.55908170791269,18.91718916322698,36.28235539,1450000000000000.0,23.9390338859766,828.158634819741,1562.47324578219,0.125135684494,0.0220632902784038,0.602801608388582,48.5587739710518,27.3214738501002,27.28732766584553,0.1251356844936099,0.9263414222433564,21.454657846940005,21.454657846940005,20.423056681606628,17.83088649114626,17.855483880664842,1107649846590774.4,24.23646617353345,1122994707793474.4,23.13521034647844,24.053602925037836,1487793291184871.2,0.0189171891632269,3.16,35.8,2024-06-07 09:28:00,58812.961183990294,0.0,5,588.129611839903,-3.406237,8.695613,1.3672656,0.0,0.7540425251846349,1032.601136410205,11778.588841101398,0.9546314067902358,0.2977899883637715,3.90095232039455,240.7047373019521,0.2149388087054097,inf,0.0,231.19558356454655,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,6.015728e-07,44811.246,0.20979781,0.0,0.0,0.9999999999999999,-7.93757050363418e-13,5.1525893e-12,2.5365063e-16,0.0,-0.0,0.0,7.479999999999999e-16,5.766646888548058e-14,4.358832173833312e-12,1318.5726450437257,5.4092318066175885e-12,1.5505919287738783e-13,0.0
6,6,6,-4.106899829621,36.88751220703125,5135.88,197.546666496,34610D,266.28842,-2.7134047,9.770877,192.5884354495601,66235.06613388965,0.3135742285408477,1.054779859361127,63.28679156166763,80434.27540051853,2038.5969893301951,0.0006925397341391,0.1725610000874268,0.5273899296805635,1.0,0.0187531756887189,0.0004702226446745,0.0001019809975249,3.628235539e-05,1450000000000000.0,199.922974543308,77.84275362085118,0.0759441498740011,0.0015498806096734,0.0012657358312333,1.186828320931287,0.0297588825010956,0.0064540501336149,0.0022961938629332,9.176584776441806e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5887233802028466,40.21713770025927,18.75317568871892,36.28235538999999,1450000000000000.0,21.061143112845,806.510220972195,1510.28273627822,0.0692539734139,0.0209178947524908,0.512582558834315,40.2174490478414,24.504500328518,24.487541732876597,0.06925397341391,0.8358012486713765,19.30099057817791,19.30099057817791,16.89567932130529,15.303334603066116,15.5302673874154,1008115706513034.0,18.506934070753346,1112071996714629.4,18.17484151394936,22.40641499667494,1393188969905549.0,0.0187531756887189,3.16,35.8,2024-06-07 09:29:00,53045.83483154943,0.0,6,530.4583483154943,-2.7134047,9.770877,1.5106833,0.0,0.6939712146737719,1035.6319483317973,12089.376452152546,0.9540632768454985,0.2996051798197582,3.579847905091537,239.7194207845866,0.16140483687583054,inf,0.0,230.07350360142303,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,8.648917e-07,52815.74,0.15130723,0.0,0.0,0.9999999999999999,-7.468470255725157e-13,4.3023237e-12,2.750157e-16,0.0,-0.0,0.0,7.480000000000001e-16,4.724420988134893e-14,3.55547647671571e-12,1317.9876389230453,4.21974017697119e-12,1.4958972347848256e-13,0.0
7,7,7,-4.066168602476694,36.99110412597656,5730.240000000001,208.864444264,34610D,262.3566,-1.3909073,10.909297,201.09224888547624,66171.77934232798,0.3176726141748292,1.0224038074790467,61.3442284487428,77173.63686935938,2170.147961867792,0.0005054365749048,0.1642689318638077,0.5112019037395233,1.0,0.0185135519399381,0.0004859163202571,0.0001053846121932,3.628235539e-05,1450000000000000.0,193.7864176695785,75.45340099195364,0.0736130741384913,0.0015023076354794,0.0012268845689748,1.1356995596012336,0.0298081617568246,0.0064647377253621,0.0022257130977026,8.894913125067707e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6193077802943314,38.58681843467969,18.513551939938186,36.28235538999999,1450000000000000.0,20.4833059679938,807.126230651142,1514.87830013071,0.0505436574905,0.0210487707541761,0.500795638440698,38.5861445887599,23.7921560498416,23.78013669899769,0.05054365749048,0.8383435681045865,19.24784378522997,19.24784378522997,16.890858803605855,15.232734329277198,15.422963025911129,981248090405375.2,18.10391166433613,1083779090861422.6,17.731038064736172,21.17864476261694,1322679511459116.8,0.0185135519399381,3.16,35.8,2024-06-07 09:30:00,48952.171669891104,0.0,7,489.52171669891106,-1.3909073,10.909297,1.6640764,0.0,0.6500135620460373,1038.641099479913,12806.645201236752,0.9543698592134923,0.29862714515733363,3.3228900800901178,238.8728788781834,0.147848147161836,inf,0.0,229.24985566296374,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,1.0531733e-06,58906.406,0.14303713,0.0,0.0,1.0,-7.111521177914408e-13,3.7523773e-12,2.8516958e-16,0.0,-0.0,0.0,7.479999999999999e-16,4.056909682761562e-14,3.0412251739163615e-12,1317.3869724751785,3.4539180906649804e-12,1.449981258997244e-13,0.0
8,8,8,-4.023099858710111,37.10087585449219,6362.700000000001,215.037777592,34610D,258.16083,0.7978851,12.403082,205.7288892687945,66110.43511387924,0.3205228423891136,0.9917404877437536,59.504429264625216,71753.09076261082,1882.4909328180745,0.0003847001148765,0.1677830159633013,0.4958702438718768,1.0,0.0182308379365194,0.0005034081697698,0.0001091782114212,3.628235539e-05,1450000000000000.0,187.97449204695104,73.19044799548901,0.0714053151175502,0.0014572513289295,0.0011900885852925,1.0848156064284702,0.0299550158293015,0.0064965871587558,0.0021589608498582,8.628142243370656e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.638715278911193,35.87654538130541,18.23083793651949,36.28235539,1450000000000000.0,19.2929811784629,801.224676634039,1504.32196974804,0.0384700114877,0.0208616746114197,0.469240861365869,35.8759740568829,22.492962339131,22.4843126214826,0.03847001148765,0.8141529914159494,18.58439311939297,18.58439311939297,15.946054289442548,14.457666681939916,14.673982962385695,927542075555557.2,16.313335295148313,1013897333622133.6,16.417025767135687,19.57358038518536,1233640452019458.2,0.0182308379365194,3.16,35.8,2024-06-07 09:31:00,44880.94387389205,0.0,8,448.8094387389205,0.7978851,12.403082,1.7368586,0.0,0.6056393461895541,1041.6293605961127,13196.043753236032,0.9548374746355329,0.29712858669545433,3.058994698325615,237.94090258995715,0.1449121346174643,inf,0.0,228.391783122161,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,1.0396479e-06,65353.324,0.14791936,0.0,0.0,1.0,-6.733887943238094e-13,3.2366004e-12,2.861637e-16,0.0,-0.0,0.0,7.48e-16,3.43559164827302e-14,2.56321175241455e-12,1316.7302333054395,2.7806121116001574e-12,1.4064942936420934e-13,0.0
9,9,9,-3.978862356632306,37.21408081054688,6911.34,222.239999808,34610D,254.31462,1.843599,14.17466,210.6506190647398,66050.93068461462,0.3232113285778495,0.9675381251742406,58.05228751045444,67705.76537955373,1671.6692660383262,0.0002958787626552,0.1713970553394911,0.4837690625871203,1.0,0.0180032689428319,0.0005179604713034,0.0001123342870452,3.628235539e-05,1450000000000000.0,183.3871762455256,71.40431363785896,0.0696627450125453,0.0014216886737254,0.001161045750209,1.0451309447973136,0.0300687901991577,0.0065212623288314,0.0021062737266567,8.417581689015894e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6589224532728709,33.85288268977687,18.003268942831916,36.28235538999999,1450000000000000.0,18.4292305367496,797.079149235931,1497.89696109397,0.0295878762655,0.0207632304485943,0.447242809549203,33.8530472837267,21.5401360908886,21.533764707231715,0.02958787626552,0.7969189580236665,18.129195060310305,18.129195060310305,15.31238797044699,13.917022247625749,14.144917991506867,887642592077760.8,15.095493100085063,964557918976315.6,15.495273758035864,18.32793343424434,1163661159864268.0,0.0180032689428319,3.16,35.8,2024-06-07 09:32:00,41575.489665763846,0.0,9,415.7548966576385,1.843599,14.17466,1.7460277,0.0,0.5695193630074021,1044.589039964921,13636.878135378027,0.9592570861921389,0.2825346750226731,2.8447403537855216,237.13036249402558,0.14252717847356094,inf,0.0,227.64570939696065,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,7.28229e-07,71064.41,0.14993757,0.0,0.0,1.0,-6.399411396578747e-13,2.8589201e-12,2.6574838e-16,0.0,-0.0,0.0,7.479999999999999e-16,2.98604756514931e-14,2.2189790200346345e-12,1316.0511132244942,2.3191236396942125e-12,1.3721703094271096e-13,0.0
